ID	Type	RA	DECL	ID_OGLE_II	ID_OGLE_III	ID_OGLE_IV	ID_OTHER	I	V	V_I	P	T0	A_1	A_2	Remarks
OGLE-LMC-ECL-13724	ELL	5.364567	-68.893861	-99.99	LMC101.1.33270	LMC503.27.46905	-99.99	18.005	18.118	0.113	2.89440270	7002.46650	0.100	0.059	
OGLE-LMC-ECL-14012	ELL	5.374694	-69.481750	-99.99	LMC100.1.58219	LMC503.10.81219	-99.99	17.228	17.155	-0.073	0.96613270	7000.49530	0.117	0.082	
OGLE-LMC-ECL-14220	ELL	5.381847	-67.866500	-99.99	LMC159.5.386	LMC504.19.8681	-99.99	17.050	18.123	1.073	56.87077480	7016.07280	0.128	0.098	
OGLE-LMC-ECL-14285	ELL	5.384694	-70.079833	-99.99	LMC162.8.1514	LMC502.27.11538	-99.99	17.543	18.608	1.065	39.33901100	7018.36350	0.189	0.149	
OGLE-LMC-ECL-14306	ELL	5.385178	-69.901278	-99.99	LMC162.7.73778	LMC503.02.781	-99.99	17.304	17.593	0.289	1.85517280	7000.86690	0.072	0.052	
OGLE-LMC-ECL-14311	ELL	5.385522	-70.574083	-99.99	LMC163.7.122	LMC502.10.19733	-99.99	16.455	17.694	1.239	111.80075030	7092.15220	0.080	0.044	
OGLE-LMC-ECL-14399	ELL	5.388742	-70.560556	-99.99	LMC163.7.9297	LMC502.10.19667	-99.99	15.491	17.175	1.684	337.73001250	7139.06430	0.054	0.036	
OGLE-LMC-ECL-14423	ELL	5.389383	-71.285194	-99.99	LMC164.8.4858	LMC501.27.8578	-99.99	16.458	17.715	1.257	135.13675680	7021.41280	0.075	0.059	
OGLE-LMC-ECL-14485	ELL	5.391536	-69.391917	-99.99	LMC161.7.16296	LMC503.09.85338	-99.99	14.817	16.537	1.720	458.97064920	7330.24840	0.101	0.081	
OGLE-LMC-ECL-14580	ELL	5.395542	-69.224917	-99.99	LMC161.6.16308	LMC503.18.51103	-99.99	18.575	18.595	0.020	5.85097420	7004.58800	0.133	0.086	
